id,facility,cat_id,app_type,exam_day,start_time,site_id,deleted_at
104,3,1,1,mon,1:00 PM,3,12/4/23 15:40
613,3,1,1,mon,1:00 PM,3,9/26/19 18:29
692,3,1,1,mon,1:00 PM,3,Not Deleted
917,3,1,1,mon,01:00 P.M,3,Not Deleted
Group 117,Group 117,Group 117,Group 117,Group 117,Group 117,Group 117,Group 117
97,3,1,1,mon,1:00 PM,4,12/10/18 17:26
98,3,1,1,mon,1:00 PM,4,7/16/19 13:58
102,3,1,1,mon,1:00 PM,4,3/11/22 15:34
690,3,1,1,mon,1:00 PM,4,Not Deleted
696,3,1,1,mon,1:00 PM,4,2/19/21 15:44
Group 118,Group 118,Group 118,Group 118,Group 118,Group 118,Group 118,Group 118
671,3,1,1,mon,1:00 PM,41,0000-00-00 00:00:00
694,3,1,1,mon,1:00 PM,41,0000-00-00 00:00:00
Group 119,Group 119,Group 119,Group 119,Group 119,Group 119,Group 119,Group 119
812,3,1,1,mon,1:00 PM,45,11/24/22 15:26
818,3,1,1,mon,1:00 PM,45,10/19/24 18:33
Group 120,Group 120,Group 120,Group 120,Group 120,Group 120,Group 120,Group 120
99,3,1,1,mon,9:00 AM,3,7/16/19 13:59
614,3,1,1,mon,9:00 AM,3,4/9/25 18:00
691,3,1,1,mon,9:00 AM,3,Not Deleted
907,3,1,1,mon,09:00 A.M,3,Not Deleted
Group 121,Group 121,Group 121,Group 121,Group 121,Group 121,Group 121,Group 121
101,3,1,1,mon,9:00 AM,4,7/16/19 17:36
109,3,1,1,mon,9:00 AM,4,4/9/25 18:00
195,3,1,1,mon,9:00 AM,4,4/9/25 18:00
689,3,1,1,mon,9:00 AM,4,Not Deleted
Group 122,Group 122,Group 122,Group 122,Group 122,Group 122,Group 122,Group 122
670,3,1,1,mon,9:00 AM,41,0000-00-00 00:00:00
693,3,1,1,mon,9:00 AM,41,0000-00-00 00:00:00
699,3,1,1,mon,9:00 AM,41,2/19/21 15:44
Group 123,Group 123,Group 123,Group 123,Group 123,Group 123,Group 123,Group 123
810,3,1,1,mon,9:00 AM,45,10/19/24 18:32
811,3,1,1,mon,9:00 AM,45,11/24/22 15:26
Group 124,Group 124,Group 124,Group 124,Group 124,Group 124,Group 124,Group 124
138,3,1,1,thur,1:00 PM,3,4/9/25 18:00
619,3,1,1,thur,1:00 PM,3,Not Deleted
733,3,1,1,thur,1:00 PM,3,2/19/21 16:02
920,3,1,1,thur,01:00 P.M,3,4/9/25 18:00
958,3,1,1,thur,01:00 P.M,3,Not Deleted
Group 125,Group 125,Group 125,Group 125,Group 125,Group 125,Group 125,Group 125
136,3,1,1,thur,1:00 PM,4,Not Deleted
731,3,1,1,thur,1:00 PM,4,2/19/21 16:02
Group 126,Group 126,Group 126,Group 126,Group 126,Group 126,Group 126,Group 126
683,3,1,1,thur,1:00 PM,41,0000-00-00 00:00:00
735,3,1,1,thur,1:00 PM,41,2/19/21 16:02
Group 127,Group 127,Group 127,Group 127,Group 127,Group 127,Group 127,Group 127
925,3,1,1,thur,01:00 P.M,48,4/9/25 18:00
964,3,1,1,thur,01:00 P.M,48,Not Deleted
Group 128,Group 128,Group 128,Group 128,Group 128,Group 128,Group 128,Group 128
137,3,1,1,thur,9:00 AM,3,Not Deleted
141,3,1,1,thur,9:00 AM,3,4/9/25 18:00
732,3,1,1,thur,9:00 AM,3,2/19/21 16:02
910,3,1,1,thur,09:00 A.M,3,4/9/25 18:00
957,3,1,1,thur,09:00 A.M,3,Not Deleted
Group 129,Group 129,Group 129,Group 129,Group 129,Group 129,Group 129,Group 129
135,3,1,1,thur,9:00 AM,4,Not Deleted
139,3,1,1,thur,9:00 AM,4,4/9/25 18:00
730,3,1,1,thur,9:00 AM,4,2/19/21 16:02
Group 130,Group 130,Group 130,Group 130,Group 130,Group 130,Group 130,Group 130
682,3,1,1,thur,9:00 AM,41,0000-00-00 00:00:00
734,3,1,1,thur,9:00 AM,41,2/19/21 16:02
Group 131,Group 131,Group 131,Group 131,Group 131,Group 131,Group 131,Group 131
915,3,1,1,thur,09:00 A.M,48,4/9/25 18:00
963,3,1,1,thur,09:00 A.M,48,Not Deleted
Group 132,Group 132,Group 132,Group 132,Group 132,Group 132,Group 132,Group 132
114,3,1,1,tue,1:00 PM,3,Not Deleted
705,3,1,1,tue,1:00 PM,3,4/9/25 18:00
918,3,1,1,tue,01:00 P.M,3,Not Deleted
Group 133,Group 133,Group 133,Group 133,Group 133,Group 133,Group 133,Group 133
112,3,1,1,tue,1:00 PM,4,4/9/25 18:00
703,3,1,1,tue,1:00 PM,4,Not Deleted
Group 134,Group 134,Group 134,Group 134,Group 134,Group 134,Group 134,Group 134
675,3,1,1,tue,1:00 PM,41,0000-00-00 00:00:00
707,3,1,1,tue,1:00 PM,41,0000-00-00 00:00:00
Group 135,Group 135,Group 135,Group 135,Group 135,Group 135,Group 135,Group 135
813,3,1,1,tue,1:00 PM,45,11/24/22 15:42
817,3,1,1,tue,1:00 PM,45,10/19/24 18:33
Group 136,Group 136,Group 136,Group 136,Group 136,Group 136,Group 136,Group 136
113,3,1,1,tue,9:00 AM,3,4/9/25 18:00
704,3,1,1,tue,9:00 AM,3,Not Deleted
710,3,1,1,tue,9:00 AM,3,12/7/20 19:05
908,3,1,1,tue,09:00 A.M,3,Not Deleted
Group 137,Group 137,Group 137,Group 137,Group 137,Group 137,Group 137,Group 137
111,3,1,1,tue,9:00 AM,4,4/9/25 18:00
702,3,1,1,tue,9:00 AM,4,Not Deleted
Group 138,Group 138,Group 138,Group 138,Group 138,Group 138,Group 138,Group 138
674,3,1,1,tue,9:00 AM,41,0000-00-00 00:00:00
706,3,1,1,tue,9:00 AM,41,0000-00-00 00:00:00
Group 139,Group 139,Group 139,Group 139,Group 139,Group 139,Group 139,Group 139
126,3,1,1,wed,1:00 PM,3,4/9/25 18:00
130,3,1,1,wed,1:00 PM,3,4/9/25 18:00
134,3,1,1,wed,1:00 PM,3,Not Deleted
719,3,1,1,wed,1:00 PM,3,2/19/21 16:02
919,3,1,1,wed,01:00 P.M,3,4/9/25 18:00
956,3,1,1,wed,01:00 P.M,3,Not Deleted
Group 140,Group 140,Group 140,Group 140,Group 140,Group 140,Group 140,Group 140
124,3,1,1,wed,1:00 PM,4,4/9/25 18:00
128,3,1,1,wed,1:00 PM,4,4/9/25 18:00
132,3,1,1,wed,1:00 PM,4,Not Deleted
717,3,1,1,wed,1:00 PM,4,2/19/21 16:02
Group 141,Group 141,Group 141,Group 141,Group 141,Group 141,Group 141,Group 141
679,3,1,1,wed,1:00 PM,41,0000-00-00 00:00:00
721,3,1,1,wed,1:00 PM,41,2/19/21 16:02
Group 142,Group 142,Group 142,Group 142,Group 142,Group 142,Group 142,Group 142
815,3,1,1,wed,1:00 PM,45,11/24/22 15:42
820,3,1,1,wed,1:00 PM,45,10/19/24 18:33
Group 143,Group 143,Group 143,Group 143,Group 143,Group 143,Group 143,Group 143
924,3,1,1,wed,01:00 P.M,48,4/9/25 18:00
962,3,1,1,wed,01:00 P.M,48,Not Deleted
Group 144,Group 144,Group 144,Group 144,Group 144,Group 144,Group 144,Group 144
125,3,1,1,wed,9:00 AM,3,Not Deleted
718,3,1,1,wed,9:00 AM,3,2/19/21 16:02
909,3,1,1,wed,09:00 A.M,3,4/9/25 18:00
955,3,1,1,wed,09:00 A.M,3,Not Deleted
Group 145,Group 145,Group 145,Group 145,Group 145,Group 145,Group 145,Group 145
123,3,1,1,wed,9:00 AM,4,Not Deleted
716,3,1,1,wed,9:00 AM,4,2/19/21 16:02
Group 146,Group 146,Group 146,Group 146,Group 146,Group 146,Group 146,Group 146
678,3,1,1,wed,9:00 AM,41,0000-00-00 00:00:00
720,3,1,1,wed,9:00 AM,41,2/19/21 16:02
Group 147,Group 147,Group 147,Group 147,Group 147,Group 147,Group 147,Group 147
814,3,1,1,wed,9:00 AM,45,11/24/22 15:42
819,3,1,1,wed,9:00 AM,45,10/19/24 18:33
Group 148,Group 148,Group 148,Group 148,Group 148,Group 148,Group 148,Group 148
914,3,1,1,wed,09:00 A.M,48,4/9/25 18:00
961,3,1,1,wed,09:00 A.M,48,Not Deleted
Group 149,Group 149,Group 149,Group 149,Group 149,Group 149,Group 149,Group 149
894,3,11,1,fri,1:00 PM,4,4/9/25 18:00
897,3,11,1,fri,1:00 PM,4,Not Deleted
Group 150,Group 150,Group 150,Group 150,Group 150,Group 150,Group 150,Group 150
636,3,12,1,tue,1:00 PM,4,4/9/25 18:00
637,3,12,1,tue,1:00 PM,4,Not Deleted
Group 151,Group 151,Group 151,Group 151,Group 151,Group 151,Group 151,Group 151
154,3,2,1,fri,1:00 PM,3,11/24/20 13:57
728,3,2,1,fri,1:00 PM,3,12/3/20 19:18
753,3,2,1,fri,1:00 PM,3,2/19/21 16:02
758,3,2,1,fri,1:00 PM,3,Not Deleted
941,3,2,1,fri,01:00 P.M,3,Not Deleted
Group 152,Group 152,Group 152,Group 152,Group 152,Group 152,Group 152,Group 152
152,3,2,1,fri,1:00 PM,4,11/24/20 13:57
751,3,2,1,fri,1:00 PM,4,2/19/21 16:02
777,3,2,1,fri,1:00 PM,4,Not Deleted
Group 153,Group 153,Group 153,Group 153,Group 153,Group 153,Group 153,Group 153
685,3,2,1,fri,1:00 PM,41,9/30/21 13:53
755,3,2,1,fri,1:00 PM,41,2/19/21 16:02
760,3,2,1,fri,1:00 PM,41,Not Deleted
Group 154,Group 154,Group 154,Group 154,Group 154,Group 154,Group 154,Group 154
153,3,2,1,fri,9:00 AM,3,11/24/20 13:57
729,3,2,1,fri,9:00 AM,3,12/3/20 19:18
752,3,2,1,fri,9:00 AM,3,2/19/21 16:02
761,3,2,1,fri,9:00 AM,3,Not Deleted
931,3,2,1,fri,09:00 A.M,3,Not Deleted
Group 155,Group 155,Group 155,Group 155,Group 155,Group 155,Group 155,Group 155
151,3,2,1,fri,9:00 AM,4,5/17/23 13:24
750,3,2,1,fri,9:00 AM,4,2/19/21 16:02
Group 156,Group 156,Group 156,Group 156,Group 156,Group 156,Group 156,Group 156
684,3,2,1,fri,9:00 AM,41,0000-00-00 00:00:00
754,3,2,1,fri,9:00 AM,41,2/19/21 16:02
759,3,2,1,fri,9:00 AM,41,Not Deleted
Group 157,Group 157,Group 157,Group 157,Group 157,Group 157,Group 157,Group 157
181,3,2,1,mon,1:00 PM,3,11/3/23 16:51
526,3,2,1,mon,1:00 PM,3,4/9/25 18:00
698,3,2,1,mon,1:00 PM,3,Not Deleted
937,3,2,1,mon,01:00 P.M,3,Not Deleted
Group 158,Group 158,Group 158,Group 158,Group 158,Group 158,Group 158,Group 158
229,3,2,1,mon,1:00 PM,4,3/8/21 14:11
524,3,2,1,mon,1:00 PM,4,12/3/20 19:18
757,3,2,1,mon,1:00 PM,4,4/9/25 18:00
778,3,2,1,mon,1:00 PM,4,Not Deleted
Group 159,Group 159,Group 159,Group 159,Group 159,Group 159,Group 159,Group 159
669,3,2,1,mon,1:00 PM,41,0000-00-00 00:00:00
700,3,2,1,mon,1:00 PM,41,0000-00-00 00:00:00
Group 160,Group 160,Group 160,Group 160,Group 160,Group 160,Group 160,Group 160
103,3,2,1,mon,9:00 AM,3,6/21/23 17:00
525,3,2,1,mon,9:00 AM,3,12/3/20 19:18
697,3,2,1,mon,9:00 AM,3,Not Deleted
927,3,2,1,mon,09:00 A.M,3,Not Deleted
Group 161,Group 161,Group 161,Group 161,Group 161,Group 161,Group 161,Group 161
184,3,2,1,mon,9:00 AM,4,12/3/20 19:18
529,3,2,1,mon,9:00 AM,4,11/24/20 13:57
647,3,2,1,mon,9:00 AM,4,4/9/25 18:00
695,3,2,1,mon,9:00 AM,4,Not Deleted
Group 162,Group 162,Group 162,Group 162,Group 162,Group 162,Group 162,Group 162
142,3,2,1,thur,1:00 PM,3,4/9/25 18:00
180,3,2,1,thur,1:00 PM,3,Not Deleted
739,3,2,1,thur,1:00 PM,3,2/19/21 16:02
940,3,2,1,thur,01:00 P.M,3,Not Deleted
Group 163,Group 163,Group 163,Group 163,Group 163,Group 163,Group 163,Group 163
140,3,2,1,thur,1:00 PM,4,11/28/22 21:30
737,3,2,1,thur,1:00 PM,4,2/19/21 16:02
Group 164,Group 164,Group 164,Group 164,Group 164,Group 164,Group 164,Group 164
681,3,2,1,thur,1:00 PM,41,0000-00-00 00:00:00
741,3,2,1,thur,1:00 PM,41,2/19/21 16:02
Group 165,Group 165,Group 165,Group 165,Group 165,Group 165,Group 165,Group 165
249,3,2,1,thur,9:00 AM,3,Not Deleted
738,3,2,1,thur,9:00 AM,3,2/19/21 16:02
930,3,2,1,thur,09:00 A.M,3,Not Deleted
Group 166,Group 166,Group 166,Group 166,Group 166,Group 166,Group 166,Group 166
736,3,2,1,thur,9:00 AM,4,2/19/21 16:02
762,3,2,1,thur,9:00 AM,4,Not Deleted
Group 167,Group 167,Group 167,Group 167,Group 167,Group 167,Group 167,Group 167
680,3,2,1,thur,9:00 AM,41,0000-00-00 00:00:00
740,3,2,1,thur,9:00 AM,41,2/19/21 16:02
Group 168,Group 168,Group 168,Group 168,Group 168,Group 168,Group 168,Group 168
118,3,2,1,tue,1:00 PM,3,3/24/21 15:57
711,3,2,1,tue,1:00 PM,3,12/3/20 19:18
770,3,2,1,tue,1:00 PM,3,7/1/22 13:30
771,3,2,1,tue,1:00 PM,3,11/23/22 14:47
772,3,2,1,tue,1:00 PM,3,Not Deleted
938,3,2,1,tue,01:00 P.M,3,Not Deleted
Group 169,Group 169,Group 169,Group 169,Group 169,Group 169,Group 169,Group 169
116,3,2,1,tue,1:00 PM,4,5/4/22 16:40
709,3,2,1,tue,1:00 PM,4,Not Deleted
Group 170,Group 170,Group 170,Group 170,Group 170,Group 170,Group 170,Group 170
673,3,2,1,tue,1:00 PM,41,0000-00-00 00:00:00
713,3,2,1,tue,1:00 PM,41,2/19/21 16:02
Group 171,Group 171,Group 171,Group 171,Group 171,Group 171,Group 171,Group 171
117,3,2,1,tue,9:00 AM,3,11/24/20 13:57
756,3,2,1,tue,9:00 AM,3,Not Deleted
928,3,2,1,tue,09:00 A.M,3,Not Deleted
Group 172,Group 172,Group 172,Group 172,Group 172,Group 172,Group 172,Group 172
115,3,2,1,tue,9:00 AM,4,4/9/25 18:00
708,3,2,1,tue,9:00 AM,4,Not Deleted
Group 173,Group 173,Group 173,Group 173,Group 173,Group 173,Group 173,Group 173
672,3,2,1,tue,9:00 AM,41,12/3/20 19:18
712,3,2,1,tue,9:00 AM,41,12/7/20 19:05
Group 174,Group 174,Group 174,Group 174,Group 174,Group 174,Group 174,Group 174
624,3,2,1,wed,1:00 PM,3,Not Deleted
625,3,2,1,wed,1:00 PM,3,11/14/19 18:25
725,3,2,1,wed,1:00 PM,3,2/19/21 16:02
939,3,2,1,wed,01:00 P.M,3,Not Deleted
Group 175,Group 175,Group 175,Group 175,Group 175,Group 175,Group 175,Group 175
192,3,2,1,wed,1:00 PM,4,1/12/24 15:35
723,3,2,1,wed,1:00 PM,4,2/19/21 16:02
899,3,2,1,wed,1:00 PM,4,Not Deleted
Group 176,Group 176,Group 176,Group 176,Group 176,Group 176,Group 176,Group 176
677,3,2,1,wed,1:00 PM,41,0000-00-00 00:00:00
727,3,2,1,wed,1:00 PM,41,2/19/21 16:02
Group 177,Group 177,Group 177,Group 177,Group 177,Group 177,Group 177,Group 177
129,3,2,1,wed,9:00 AM,3,12/3/20 19:22
724,3,2,1,wed,9:00 AM,3,2/19/21 16:02
764,3,2,1,wed,9:00 AM,3,Not Deleted
929,3,2,1,wed,09:00 A.M,3,Not Deleted
Group 178,Group 178,Group 178,Group 178,Group 178,Group 178,Group 178,Group 178
127,3,2,1,wed,9:00 AM,4,2/19/21 16:02
722,3,2,1,wed,9:00 AM,4,2/19/21 16:02
769,3,2,1,wed,9:00 AM,4,3/30/21 20:39
773,3,2,1,wed,9:00 AM,4,Not Deleted
Group 179,Group 179,Group 179,Group 179,Group 179,Group 179,Group 179,Group 179
676,3,2,1,wed,9:00 AM,41,0000-00-00 00:00:00
726,3,2,1,wed,9:00 AM,41,2/19/21 16:02
Group 180,Group 180,Group 180,Group 180,Group 180,Group 180,Group 180,Group 180
179,3,5,1,mon,9:00 AM,4,4/9/25 18:00
191,3,5,1,mon,9:00 AM,4,4/9/25 18:00
701,3,5,1,mon,9:00 AM,4,Not Deleted
Group 181,Group 181,Group 181,Group 181,Group 181,Group 181,Group 181,Group 181
380,3,6,1,thur,9:00 AM,37,11/24/20 13:57
800,3,6,1,thur,9:00 AM,37,3/11/22 15:35
880,3,6,1,thur,9:00 AM,37,Not Deleted
Group 182,Group 182,Group 182,Group 182,Group 182,Group 182,Group 182,Group 182
379,3,6,1,wed,1:00 PM,37,2/19/21 16:02
799,3,6,1,wed,1:00 PM,37,3/11/22 15:37
801,3,6,1,wed,1:00 PM,37,Not Deleted
Group 183,Group 183,Group 183,Group 183,Group 183,Group 183,Group 183,Group 183
146,3,7,1,thur,1:00 PM,3,11/24/20 13:57
743,3,7,1,thur,1:00 PM,3,2/19/21 16:02
763,3,7,1,thur,1:00 PM,3,Not Deleted
950,3,7,1,thur,01:00 P.M,3,Not Deleted
Group 184,Group 184,Group 184,Group 184,Group 184,Group 184,Group 184,Group 184
144,3,7,1,thur,1:00 PM,4,Not Deleted
742,3,7,1,thur,1:00 PM,4,2/19/21 16:02
Group 185,Group 185,Group 185,Group 185,Group 185,Group 185,Group 185,Group 185
145,3,7,1,thur,9:00 AM,3,11/24/20 13:57
688,3,7,1,thur,9:00 AM,3,7/13/23 21:09
893,3,7,1,thur,9:00 AM,3,Not Deleted
949,3,7,1,thur,09:00 A.M,3,Not Deleted
Group 186,Group 186,Group 186,Group 186,Group 186,Group 186,Group 186,Group 186
876,3,7,1,tue,1:00 PM,3,Not Deleted
948,3,7,1,tue,01:00 P.M,3,Not Deleted
Group 187,Group 187,Group 187,Group 187,Group 187,Group 187,Group 187,Group 187
121,3,7,1,tue,9:00 AM,3,7/26/21 20:12
715,3,7,1,tue,9:00 AM,3,2/19/21 16:02
780,3,7,1,tue,9:00 AM,3,Not Deleted
947,3,7,1,tue,09:00 A.M,3,Not Deleted
Group 188,Group 188,Group 188,Group 188,Group 188,Group 188,Group 188,Group 188
119,3,7,1,tue,9:00 AM,4,11/24/20 13:57
714,3,7,1,tue,9:00 AM,4,2/19/21 16:02
Group 189,Group 189,Group 189,Group 189,Group 189,Group 189,Group 189,Group 189
133,3,7,1,wed,9:00 AM,3,3/14/22 14:05
803,3,7,1,wed,9:00 AM,3,Not Deleted
