id,facility,cat_id,app_type,exam_day,start_time,site_id,deleted_at
288,1,1,1,wed,11:00 AM,8,3/20/23 19:52
421,1,1,1,wed,11:00 AM,8,Not Deleted
435,1,1,1,wed,11:00 AM,8,8/3/19 16:15
Group 27,Group 27,Group 27,Group 27,Group 27,Group 27,Group 27,Group 27
368,1,1,1,wed,11:00 AM,9,4/9/25 18:00
405,1,1,1,wed,11:00 AM,9,4/9/25 18:00
410,1,1,1,wed,11:00 AM,9,Not Deleted
Group 28,Group 28,Group 28,Group 28,Group 28,Group 28,Group 28,Group 28
1093,1,1,1,wed,11:30A.M,9,4/9/25 18:00
1098,1,1,1,wed,11:30A.M,9,Not Deleted
Group 29,Group 29,Group 29,Group 29,Group 29,Group 29,Group 29,Group 29
847,1,1,2,thur,2:30 PM,6,3/21/23 13:57
859,1,1,2,thur,2:30 PM,6,3/21/23 13:57
862,1,1,2,thur,2:30 PM,6,3/21/23 13:57
Group 30,Group 30,Group 30,Group 30,Group 30,Group 30,Group 30,Group 30
235,1,11,1,mon,10:00 AM,32,5/30/19 19:54
472,1,11,1,mon,10:00 AM,32,Not Deleted
Group 31,Group 31,Group 31,Group 31,Group 31,Group 31,Group 31,Group 31
275,1,11,1,thur,10:00 AM,24,1/17/19 21:14
424,1,11,1,thur,10:00 AM,24,Not Deleted
Group 32,Group 32,Group 32,Group 32,Group 32,Group 32,Group 32,Group 32
279,1,11,1,tue,1:00 PM,31,7/29/19 21:07
454,1,11,1,tue,1:00 PM,31,9/17/19 23:06
Group 33,Group 33,Group 33,Group 33,Group 33,Group 33,Group 33,Group 33
177,1,11,1,tue,2:00 PM,6,12/10/18 18:40
220,1,11,1,tue,2:00 PM,6,1/17/19 21:09
300,1,11,1,tue,2:00 PM,6,2/1/19 20:27
396,1,11,1,tue,2:00 PM,6,3/21/23 15:19
397,1,11,1,tue,2:00 PM,6,6/24/19 16:10
Group 34,Group 34,Group 34,Group 34,Group 34,Group 34,Group 34,Group 34
204,1,11,1,tue,2:00 PM,8,12/11/18 16:10
376,1,11,1,tue,2:00 PM,8,6/1/23 19:27
629,1,11,1,tue,2:00 PM,8,10/30/19 17:58
Group 35,Group 35,Group 35,Group 35,Group 35,Group 35,Group 35,Group 35
884,1,11,1,tue,2:30 PM,8,Not Deleted
1081,1,11,1,tue,02:30P.M,8,Not Deleted
Group 36,Group 36,Group 36,Group 36,Group 36,Group 36,Group 36,Group 36
419,1,11,1,tue,10:00 AM,38,7/3/19 23:44
554,1,11,1,tue,10:00 AM,38,10/2/19 15:06
Group 37,Group 37,Group 37,Group 37,Group 37,Group 37,Group 37,Group 37
223,1,11,1,wed,2:00 PM,6,1/17/19 21:14
398,1,11,1,wed,2:00 PM,6,Not Deleted
Group 38,Group 38,Group 38,Group 38,Group 38,Group 38,Group 38,Group 38
294,1,11,1,wed,2:00 PM,8,8/28/19 22:49
630,1,11,1,wed,2:00 PM,8,4/14/23 13:04
879,1,11,1,wed,2:00 PM,8,Not Deleted
Group 39,Group 39,Group 39,Group 39,Group 39,Group 39,Group 39,Group 39
267,1,11,1,wed,2:00 PM,9,1/22/19 21:30
458,1,11,1,wed,2:00 PM,9,Not Deleted
1106,1,11,1,wed,02:00P.M,9,Not Deleted
Group 40,Group 40,Group 40,Group 40,Group 40,Group 40,Group 40,Group 40
1096,1,11,1,wed,11:30A.M,9,4/9/25 18:00
1101,1,11,1,wed,11:30A.M,9,Not Deleted
Group 41,Group 41,Group 41,Group 41,Group 41,Group 41,Group 41,Group 41
358,1,13,1,wed,11:30 AM,6,4/9/25 18:00
367,1,13,1,wed,11:30 AM,6,Not Deleted
Group 42,Group 42,Group 42,Group 42,Group 42,Group 42,Group 42,Group 42
403,1,2,1,fri,9:00 AM,6,Not Deleted
994,1,2,1,fri,09:00A.M,6,Not Deleted
Group 43,Group 43,Group 43,Group 43,Group 43,Group 43,Group 43,Group 43
245,1,2,1,mon,1:00 PM,7,1/16/19 21:45
346,1,2,1,mon,1:00 PM,7,6/27/19 14:29
468,1,2,1,mon,1:00 PM,7,Not Deleted
Group 44,Group 44,Group 44,Group 44,Group 44,Group 44,Group 44,Group 44
425,1,2,1,mon,10:00 AM,27,4/9/25 18:00
447,1,2,1,mon,10:00 AM,27,Not Deleted
Group 45,Group 45,Group 45,Group 45,Group 45,Group 45,Group 45,Group 45
231,1,2,1,mon,10:00 AM,32,1/7/19 20:25
339,1,2,1,mon,10:00 AM,32,10/30/19 17:54
347,1,2,1,mon,10:00 AM,32,2/22/19 16:37
463,1,2,1,mon,10:00 AM,32,7/23/19 19:42
639,1,2,1,mon,10:00 AM,32,Not Deleted
Group 46,Group 46,Group 46,Group 46,Group 46,Group 46,Group 46,Group 46
433,1,2,1,sat,11:00 AM,6,6/7/19 19:31
601,1,2,1,sat,11:00 AM,6,Not Deleted
Group 47,Group 47,Group 47,Group 47,Group 47,Group 47,Group 47,Group 47
286,1,2,1,thur,1:00 PM,22,1/29/19 13:52
